function_name	arg1	arg2	arg_type	param1	param2	labels
__builtin_bfin_compose_2x16	0x3000	0x2000	int			0
__builtin_bfin_compose_2x16	0x2000	0x3000	int			1
__builtin_bfin_compose_2x16	0x7000	0x5000	int			0
__builtin_bfin_compose_2x16	0x5000	0x7000	int			1
foo0000	a	b	fract2x16	a	b	0
foo0000	b	a	fract2x16	a	b	1
foo1000	a	b	fract2x16	a	b	0
foo1000	b	a	fract2x16	a	b	1
foo0100	a	b	fract2x16	a	b	0
foo0100	b	a	fract2x16	a	b	1
foo1100	a	b	fract2x16	a	b	0
foo1100	b	a	fract2x16	a	b	1
foo0010	a	b	fract2x16	a	b	0
foo0010	b	a	fract2x16	a	b	1
foo1010	a	b	fract2x16	a	b	0
foo1010	b	a	fract2x16	a	b	1
foo0110	a	b	fract2x16	a	b	0
foo0110	b	a	fract2x16	a	b	1
foo1110	a	b	fract2x16	a	b	0
foo1110	b	a	fract2x16	a	b	1
foo0001	a	b	fract2x16	a	b	0
foo0001	b	a	fract2x16	a	b	1
foo1001	a	b	fract2x16	a	b	0
foo1001	b	a	fract2x16	a	b	1
foo0101	a	b	fract2x16	a	b	0
foo0101	b	a	fract2x16	a	b	1
foo1101	a	b	fract2x16	a	b	0
foo1101	b	a	fract2x16	a	b	1
foo0011	a	b	fract2x16	a	b	0
foo0011	b	a	fract2x16	a	b	1
foo1011	a	b	fract2x16	a	b	0
foo1011	b	a	fract2x16	a	b	1
foo0111	a	b	fract2x16	a	b	0
foo0111	b	a	fract2x16	a	b	1
foo1111	a	b	fract2x16	a	b	0
foo1111	b	a	fract2x16	a	b	1
__builtin_bfin_mulhisill	a	b	int			0
__builtin_bfin_mulhisill	b	a	int			1
__builtin_bfin_mulhisilh	a	b	int			0
__builtin_bfin_mulhisilh	b	a	int			1
__builtin_bfin_mulhisihl	a	b	int			0
__builtin_bfin_mulhisihl	b	a	int			1
__builtin_bfin_mulhisihh	a	b	int			0
__builtin_bfin_mulhisihh	b	a	int			1
__builtin_bfin_compose_2x16	0x1234	0x5678	int			0
__builtin_bfin_compose_2x16	0x5678	0x1234	int			1
__builtin_bfin_compose_2x16	0xFEDC	0xBA98	int			0
