function_name,arg1,arg2,arg_type,param1,param2,labels,,,,,
fopen,file,r,FILE *,__filename,__modes,0,,,,,
fopen,r,file,FILE *,__filename,__modes,1,,,,,
fopen,tempbuf,wt,FILE *,__filename,__modes,0,,,,,
fopen,wt,tempbuf,FILE *,__filename,__modes,1,,,,,
strcmp,ext,extension,int,,,0,,,,,
strcmp,extension,ext,int,,,1,,,,,
fopen,tempbuf,wt,FILE *,__filename,__modes,0,,,,,
fopen,wt,tempbuf,FILE *,__filename,__modes,1,,,,,
fopen,tempbuf,wt,FILE *,__filename,__modes,0,,,,,
fopen,wt,tempbuf,FILE *,__filename,__modes,1,,,,,
InterfaceResize,xsize,ysize,int,,,0,,,,,
InterfaceResize,ysize,xsize,int,,,1,,,,,
max,index,0,int,,,0,,,,,
max,0,index,int,,,1,,,,,
max,index,0,int,,,0,,,,,
max,0,index,int,,,1,,,,,
max,0,yincrease,int,,,0,,,,,
max,yincrease,0,int,,,1,,,,,
min,col0,(,int,,,0,,,,,
min,(,col0,int,,,1,,,,,
min,col0,(,int,,,0,,,,,
min,(,col0,int,,,1,,,,,
min,col0,(,int,,,0,,,,,
min,(,col0,int,,,1,,,,,
min,col0,(,int,,,0,,,,,
min,(,col0,int,,,1,,,,,
max,col1,(,int,,,0,,,,,
max,(,col1,int,,,1,,,,,
max,col1,(,int,,,0,,,,,
max,(,col1,int,,,1,,,,,
max,col1,(,int,,,0,,,,,
max,(,col1,int,,,1,,,,,
max,col1,(,int,,,0,,,,,
max,(,col1,int,,,1,,,,,
DIVUP,top_b,top_a,int,,,0,,,,,
DIVUP,top_a,top_b,int,,,1,,,,,
DIVUP,top_b,top_a,int,,,0,,,,,
DIVUP,top_a,top_b,int,,,1,,,,,
DIVDOWN,bot_b,bot_a,int,,,0,,,,,
DIVDOWN,bot_a,bot_b,int,,,1,,,,,
DIVDOWN,bot_b,bot_a,int,,,0,,,,,
DIVDOWN,bot_a,bot_b,int,,,1,,,,,
min,maxcol,width,int,,,0,,,,,
min,width,maxcol,int,,,1,,,,,
OfflineResize,xsize,ysize,int,,,0,,,,,
OfflineResize,ysize,xsize,int,,,1,,,,,
max,zoom,0.5,int,,,0,,,,,
max,0.5,zoom,int,,,1,,,,,
min,zoom,8,int,,,0,,,,,
min,8,zoom,int,,,1,,,,,
max,16,height,int,,,0,,,,,
max,height,16,int,,,1,,,,,
GraphicsAreaResize,xsize,ysize,int,,,0,,,,,
GraphicsAreaResize,ysize,xsize,int,,,1,,,,,
min,new_ysize,max_height,int,,,0,,,,,
min,max_height,new_ysize,int,,,1,,,,,
strcmp,string,TRUE,int,,,0,,,,,
strcmp,TRUE,string,int,,,1,,,,,
GetFloorBase,x,y,int,,,0,,,,,
GetFloorBase,y,x,int,,,1,,,,,
max,starty,lefttop,int,,,0,,,,,
max,lefttop,starty,int,,,1,,,,,
max,starty,righttop,int,,,0,,,,,
max,righttop,starty,int,,,1,,,,,
min,endy,leftbot,int,,,0,,,,,
min,leftbot,endy,int,,,1,,,,,
min,endy,rightbot,int,,,0,,,,,
min,rightbot,endy,int,,,1,,,,,
MapAnnotationClick,x,y,int,,,0,,,,,
MapAnnotationClick,y,x,int,,,1,,,,,
max,1,min,int,,,0,,,,,
max,min,1,int,,,1,,,,,
GetFloorBase,x,y,int,,,0,,,,,
GetFloorBase,y,x,int,,,1,,,,,
GetFloorBase,original_x,original_y,int,,,0,,,,,
GetFloorBase,original_y,original_x,int,,,1,,,,,
min,dt,100,int,,,0,,,,,
min,100,dt,int,,,1,,,,,
Error,Couldn't open command file %s,filename,int,,,0,,,,,
Error,filename,Couldn't open command file %s,int,,,1,,,,,
OutputInt,outfile,numclasses,int,,,0,,,,,
OutputInt,numclasses,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputByte,outfile,0,int,,,0,,,,,
OutputByte,0,outfile,int,,,1,,,,,
OutputInt,outfile,sourceval,int,,,0,,,,,
OutputInt,sourceval,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,sourceval,int,,,0,,,,,
OutputInt,sourceval,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,sourceval,int,,,0,,,,,
OutputInt,sourceval,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,nummessages,int,,,0,,,,,
OutputInt,nummessages,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
simple_error,Unable to open bof file %s!,bof_fname,int,,,0,,,,,
simple_error,bof_fname,Unable to open bof file %s!,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
OutputInt,outfile,0,int,,,0,,,,,
OutputInt,0,outfile,int,,,1,,,,,
codegen_error,Couldn't delete file %s,bof_fname,int,,,0,,,,,
codegen_error,bof_fname,Couldn't delete file %s,int,,,1,,,,,
simple_warning,Deleted file %s,bof_fname,int,,,0,,,,,
simple_warning,bof_fname,Deleted file %s,int,,,1,,,,,
OutputInt,outfile,destination,void,outfile,datum,0,,,,,
OutputInt,destination,outfile,void,outfile,datum,1,,,,,
FileGoto,outfile,source,int,,,0,,,,,
FileGoto,source,outfile,int,,,1,,,,,
FileGoto,outfile,destination,int,,,0,,,,,
FileGoto,destination,outfile,int,,,1,,,,,
OutputInt,outfile,destval,void,outfile,datum,0,,,,,
OutputInt,destval,outfile,void,outfile,datum,1,,,,,
OutputInt,outfile,destval,void,outfile,datum,0,,,,,
OutputInt,destval,outfile,void,outfile,datum,1,,,,,
OutputInt,outfile,destval,void,outfile,datum,0,,,,,
OutputInt,destval,outfile,void,outfile,datum,1,,,,,
OutputInt,outfile,sourceval1,void,outfile,datum,0,,,,,
OutputInt,sourceval1,outfile,void,outfile,datum,1,,,,,
OutputInt,outfile,0,void,outfile,datum,0,,,,,
OutputInt,0,outfile,void,outfile,datum,1,,,,,
OutputInt,outfile,sourceval1,void,outfile,datum,0,,,,,
OutputInt,sourceval1,outfile,void,outfile,datum,1,,,,,
OutputInt,outfile,0,void,outfile,datum,0,,,,,
OutputInt,0,outfile,void,outfile,datum,1,,,,,
OutputInt,outfile,destval,void,outfile,datum,0,,,,,
OutputInt,destval,outfile,void,outfile,datum,1,,,,,
OutputInt,outfile,sourceval1,void,outfile,datum,0,,,,,
OutputInt,sourceval1,outfile,void,outfile,datum,1,,,,,
OutputInt,outfile,sourceval2,void,outfile,datum,0,,,,,
OutputInt,sourceval2,outfile,void,outfile,datum,1,,,,,
simple_error,Unable to open resource file %s!,fname,int,,,0,,,,,
simple_error,fname,Unable to open resource file %s!,int,,,1,,,,,
stricmp,token,response_line_start,int,,,0,,,,,
stricmp,response_line_start,token,int,,,1,,,,,
stricmp,token,response_line_start,int,,,0,,,,,
stricmp,response_line_start,token,int,,,1,,,,,
strspn,ptr,whitespace,unsigned long,,,0,,,,,
strspn,whitespace,ptr,unsigned long,,,1,,,,,
max,new_top,0,int,,,0,,,,,
max,0,new_top,int,,,1,,,,,
min,new_top,(,int,,,0,,,,,
min,(,new_top,int,,,1,,,,,
min,top_stat,num_stats,int,,,0,,,,,
min,num_stats,top_stat,int,,,1,,,,,
max,new_top,min_stat,int,,,0,,,,,
max,min_stat,new_top,int,,,1,,,,,
min,new_top,max_stat,int,,,0,,,,,
min,max_stat,new_top,int,,,1,,,,,
AddVerbAlias,pVerb,pCommand,int,,,0,,,,,
AddVerbAlias,pCommand,pVerb,int,,,1,,,,,
stricmp,pszVerb,_apVerbAliases,int,,,0,,,,,
stricmp,_apVerbAliases,pszVerb,int,,,1,,,,,
stricmp,_apVerbAliases,pVerb,int,,,0,,,,,
stricmp,pVerb,_apVerbAliases,int,,,1,,,,,
strstr,pVerb,~~,char *,,,0,,,,,
strstr,~~,pVerb,char *,,,1,,,,,
max,max_height,button,int,,,0,,,,,
max,button,max_height,int,,,1,,,,,
TellGroup,name,message,int,,,0,,,,,
TellGroup,message,name,int,,,1,,,,,
TellGroup,name,message,int,,,0,,,,,
TellGroup,message,name,int,,,1,,,,,
GroupAdd,group_name,players,int,,,0,,,,,
GroupAdd,players,group_name,int,,,1,,,,,
GroupDeleteNames,group_name,players,int,,,0,,,,,
GroupDeleteNames,players,group_name,int,,,1,,,,,
FindWindow,class,caption,int,,,0,,,,,
FindWindow,caption,class,int,,,1,,,,,
FindWindow,class,caption,int,,,0,,,,,
FindWindow,caption,class,int,,,1,,,,,
FindWindow,class,caption,int,,,0,,,,,
FindWindow,caption,class,int,,,1,,,,,
fopen,fname,rb,FILE *,__filename,__modes,0,,,,,
fopen,rb,fname,FILE *,__filename,__modes,1,,,,,
fopen,filename,wb,FILE *,__filename,__modes,0,,,,,
fopen,wb,filename,FILE *,__filename,__modes,1,,,,,
FindWindow,class,caption,int,,,0,,,,,
FindWindow,caption,class,int,,,1,,,,,
eprintf,LoadObject can't find class name %s\n,class_name,int,,,0,,,,,
eprintf,class_name,LoadObject can't find class name %s\n,int,,,1,,,,,
lprintf,Saving game (time stamp %s)...\n,time_str,int,,,0,,,,,
lprintf,time_str,Saving game (time stamp %s)...\n,int,,,1,,,,,
lprintf,Save game successful (time stamp %s).\n,time_str,int,,,0,,,,,
lprintf,time_str,Save game successful (time stamp %s).\n,int,,,1,,,,,
eprintf,"LoadGame can't open %s to load the game, using default!\n",filename,int,,,0,,,,,
eprintf,filename,"LoadGame can't open %s to load the game, using default!\n",int,,,1,,,,,
fopen,fname,rb,int,,,0,,,,,
fopen,rb,fname,int,,,1,,,,,
LoadUser,account_id,object_id,int,,,0,,,,,
LoadUser,object_id,account_id,int,,,1,,,,,
eprintf,LoadGameTranslateVal unable to lookup loaded class %s\n,lgc,int,,,0,,,,,
eprintf,lgc,LoadGameTranslateVal unable to lookup loaded class %s\n,int,,,1,,,,,
eprintf,LoadDynamicRsc error loading %s\n,filename,int,,,0,,,,,
eprintf,filename,LoadDynamicRsc error loading %s\n,int,,,1,,,,,
eprintf,LoadAccounts can't open %s to load the accounts!\n,filename,int,,,0,,,,,
eprintf,filename,LoadAccounts can't open %s to load the accounts!\n,int,,,1,,,,,
stricmp,type_str,ACCOUNT,int,,,0,,,,,
stricmp,ACCOUNT,type_str,int,,,1,,,,,
stricmp,type_str,NEXT_ACCOUNT_ID,int,,,0,,,,,
stricmp,NEXT_ACCOUNT_ID,type_str,int,,,1,,,,,
eprintf,LoadAccounts can't handle account file line type %s\n,type_str,int,,,0,,,,,
eprintf,type_str,LoadAccounts can't handle account file line type %s\n,int,,,1,,,,,
eprintf,LoadTimer can't find message name %s\n,message_name,int,,,0,,,,,
eprintf,message_name,LoadTimer can't find message name %s\n,int,,,1,,,,,
lprintf,%s,buf,int,,,0,,,,,
lprintf,buf,%s,int,,,1,,,,,
eprintf,"LoadBlakodStrings can't open %s to load the strings, none loaded\n",filename,int,,,0,,,,,
eprintf,filename,"LoadBlakodStrings can't open %s to load the strings, none loaded\n",int,,,1,,,,,
eprintf,GetMessageByName can't find name %s\n,message_name,int,,,0,,,,,
eprintf,message_name,GetMessageByName can't find name %s\n,int,,,1,,,,,
eprintf,SaveGame can't open %s to save everything!!!\n,filename,int,,,0,,,,,
eprintf,filename,SaveGame can't open %s to save everything!!!\n,int,,,1,,,,,
eprintf,CheckMaintenanceMask has invalid configured mask %s\n,maintenance_masks,int,,,0,,,,,
eprintf,maintenance_masks,CheckMaintenanceMask has invalid configured mask %s\n,int,,,1,,,,,
eprintf,SaveDynamicRsc can't open %s to save 'em!\n,filename,int,,,0,,,,,
eprintf,filename,SaveDynamicRsc can't open %s to save 'em!\n,int,,,1,,,,,
eprintf,Cannot open banned log file %s\n,filename,int,,,0,,,,,
eprintf,filename,Cannot open banned log file %s\n,int,,,1,,,,,
stricmp,s,YES,int,,,0,,,,,
stricmp,YES,s,int,,,1,,,,,
stricmp,s,NO,int,,,0,,,,,
stricmp,NO,s,int,,,1,,,,,
eprintf,LoadBofName can't open %s\n,fname,int,,,0,,,,,
eprintf,fname,LoadBofName can't open %s\n,int,,,1,,,,,
eprintf,LoadBofName %s is not in BOF format\n,fname,int,,,0,,,,,
eprintf,fname,LoadBofName %s is not in BOF format\n,int,,,1,,,,,
